"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol"
"ENSMUSG00000001020",54.2326932673912,1.47485433950966,0.323295568842717,3.76558692471232e-07,2.99096479015987e-06,0.00027856937555491,1.13657256757755,"S100a4"
"ENSMUSG00000001039",135.097290487205,0.442816034618868,0.197054658267505,0.00908976209975929,0.0270236707190837,0.834287442959163,0.0554682988044569,"B9d1"
"ENSMUSG00000001062",422.044410098972,-0.421914198773773,0.127067296442732,0.000372509605511348,0.00163798353518458,0.00176743213651649,-0.419982329352553,"Vps9d1"
"ENSMUSG00000001095",872.731225697009,-1.1911860346211,0.201534314164091,3.64529039111514e-10,4.5003836492172e-09,0.0190491851157828,-0.458175415927611,"Slc13a2"
"ENSMUSG00000001119",380.818031959472,0.733836465553722,0.135361621915007,5.93345018635370e-09,6.18827429241681e-08,5.38627479628899e-05,0.550902637824054,"Col6a1"
"ENSMUSG00000001123",284.664848454869,0.924414846230983,0.188102135220969,7.12728826432306e-08,6.31986786844054e-07,0.00131386419578751,0.589213913911288,"Lgals9"
"ENSMUSG00000001128",48.8697124000716,0.733131018730493,0.357523685549114,0.00568421247152297,0.0180122667432214,0.639380684157795,0.146653120864386,"Cfp"
"ENSMUSG00000001131",20.9755389378638,3.48393421709305,0.831833127669275,2.25407009037832e-08,2.1710024226409e-07,6.51566426388079e-05,2.53455420014888,"Timp1"
"ENSMUSG00000001173",509.940975894037,0.621901751182656,0.149503832793957,5.16819557691509e-06,3.36906725104111e-05,0.000151017870644268,0.567752072041779,"Ocrl"
"ENSMUSG00000001211",5892.64269325948,-0.783087716994526,0.116063021188501,1.27955540980046e-12,2.1242969570552e-11,6.56092997305283e-05,-0.469836727703844,"Agpat3"
"ENSMUSG00000001228",73.324913244953,1.94061065880861,0.390147881024434,1.82611862838704e-08,1.78037614705832e-07,1.82381108481937e-06,1.7929539580352,"Uhrf1"
"ENSMUSG00000001240",224.228594205965,0.751705394198947,0.162838165891158,3.89185466549922e-07,3.07896171209681e-06,0.0127788352193116,0.409523128506545,"Ramp2"
"ENSMUSG00000001248",646.286213756959,0.523269681479653,0.119895248397992,3.30152177137786e-06,2.23194991539546e-05,0.0015545374493836,0.398893357906262,"Gramd1a"
"ENSMUSG00000001249",4557.35872335085,-0.709677945855129,0.112638391969806,3.11918608305238e-11,4.44713204342858e-10,5.6550963742048e-08,-0.617449885681857,"Hpn"
"ENSMUSG00000001270",2357.79372590302,0.538389967335999,0.172110913481053,0.000429192294293034,0.00185852504707036,0.00576209873742035,0.477978034782542,"Ckb"
"ENSMUSG00000001280",1403.18046771707,-0.287982518246746,0.119326978088979,0.0104954225540846,0.0305716841210002,0.892502516415188,-0.0261319875443799,"Sp1"
"ENSMUSG00000001323",1562.16914118079,-0.801679032033284,0.127449349120708,2.63962183211696e-11,3.8049956295419e-10,2.30567084514527e-08,-0.713137093566672,"Srr"
"ENSMUSG00000001333",18.9660061067767,1.03103971364563,0.521518415825128,0.00352718316603239,0.0119959209967884,0.727460612394044,0.127978533514721,"Sync"
"ENSMUSG00000001334",49.5917855181108,1.79141346409759,0.359617583874938,2.77803755835684e-08,2.62606411588209e-07,0.00050636156333268,1.19565521012439,"Fndc5"
"ENSMUSG00000001348",830.408921021653,-0.512718798455588,0.0940593031111428,1.3679326010006e-08,1.35307766603088e-07,2.04235345434899e-07,-0.506733446362245,"Acp5"
"ENSMUSG00000001366",945.611194450099,-0.587879338378227,0.107849793102888,9.25961123554298e-09,9.35319491435827e-08,6.78256047207808e-07,-0.547969900157431,"Fbxo9"
"ENSMUSG00000001403",41.6638749046182,3.0116652215258,0.49788755401303,1.33454847236633e-12,2.21006116293871e-11,1.18118127560829e-06,2.16404696620548,"Ube2c"
"ENSMUSG00000001424",1044.27201477625,-0.491732210484409,0.134318774394841,7.59193839465438e-05,0.000391892194994241,0.00855369124833392,-0.371782663476697,"Snd1"
"ENSMUSG00000001435",4320.56466892226,1.35255093808175,0.098567305781359,1.29125839110211e-43,2.13211443952937e-41,8.1304304490557e-25,1.03862708009575,"Col18a1"
"ENSMUSG00000001436",1139.28703630932,-1.2715116721937,0.123768900529237,1.48816725580787e-25,7.97794031017864e-24,1.16762788814572e-08,-0.71730614545887,"Slc19a1"
"ENSMUSG00000001467",2747.50046481966,-2.45845788508166,0.199364524784087,2.65102226111432e-37,3.15725639229358e-35,2.87147968904379e-33,-2.39402584933561,"Cyp51"
"ENSMUSG00000001473",101.793336286367,0.950399248019756,0.343972573681614,0.000479306302567107,0.00205097311784793,0.12091896725215,0.436427918750704,"Tubb6"
"ENSMUSG00000001506",401.532981355472,2.05586657370434,0.174353483230641,1.12152799978244e-33,1.07240723017658e-31,0.000503453968548577,0.622623552917053,"Col1a1"
"ENSMUSG00000001507",1556.94816902129,1.26097860426125,0.125482078284071,1.46297200502595e-24,7.2380721910351e-23,3.8366952580904e-20,1.17863590603752,"Itga3"
"ENSMUSG00000001517",51.6616790121451,1.1478336838303,0.384860050171932,0.000189319090359078,0.000889947385523918,0.215078614092629,0.3735442679895,"Foxm1"
"ENSMUSG00000001521",641.60600876738,-1.32709140895481,0.139722998840165,3.34598389506202e-22,1.36369413296903e-20,7.74384195193164e-17,-1.188884672162,"Tulp3"
"ENSMUSG00000001525",1145.96079242209,0.548415567878371,0.169989318427121,0.00029199279791841,0.00131311259775023,0.0918214860169575,0.29951446061106,"Tubb5"
"ENSMUSG00000001542",1197.94258902145,-0.403529831872846,0.13887417791712,0.00162562681973646,0.006086613670508,0.394533693881132,-0.144365941744563,"Ell2"
"ENSMUSG00000001555",113.482228059251,0.967867657017821,0.347736418194743,0.000439090719903452,0.00189643329601732,0.00207010716262815,0.952968423723168,"Fkbp10"
