"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol","ENSEMBL_clean"
"ENSMUSG00000005621",903.069685902162,-0.417176535806138,0.172921476868252,0.00653473224031066,0.0203235792849943,0.0391074613830902,-0.372625983809024,"Zfp592","ENSMUSG00000005621"
"ENSMUSG00000005718",70.5593729172738,-0.707754061619901,0.267492701212149,0.00111436507512422,0.00436807390207835,0.215771780967899,-0.29903746576369,"Tfap4","ENSMUSG00000005718"
"ENSMUSG00000005763",12.5294100433167,1.21098103200901,0.614274504883772,0.00232422701328569,0.00834263690078307,0.393582423100411,0.307991136623914,"Cd247","ENSMUSG00000005763"
"ENSMUSG00000005774",289.981481486449,0.42370727052529,0.17147984793197,0.00542067622768486,0.0172720008799142,0.0502648659030935,0.354455809797151,"Rfx5","ENSMUSG00000005774"
"ENSMUSG00000005802",655.174767556667,-0.308513746784359,0.116230138309108,0.00498798151078282,0.0161310511004812,0.0315475051678695,-0.279751832248428,"Slc30a4","ENSMUSG00000005802"
"ENSMUSG00000005823",534.308717351089,0.428405213634898,0.109944418278038,3.96879023988066e-05,0.000217392644122794,0.000381890205690434,0.41405609075797,"Gpr108","ENSMUSG00000005823"
"ENSMUSG00000005846",817.15987100193,-0.442590122588844,0.112438175097473,3.15835941520147e-05,0.000176898367808905,0.00255766349921336,-0.361938913088688,"Rsl1d1","ENSMUSG00000005846"
"ENSMUSG00000005886",1271.419941517,-0.738905102758316,0.116813266315757,2.41180412251982e-11,3.50134103597056e-10,0.00927256300506051,-0.318088700371569,"Ncoa2","ENSMUSG00000005886"
"ENSMUSG00000005907",441.389913289748,-0.502106090019079,0.157151054268707,0.000401986145675938,0.00175177529608868,0.0678987295110617,-0.303578021497619,"Pex1","ENSMUSG00000005907"
"ENSMUSG00000005936",834.971384821978,-0.261156275262118,0.116795900168752,0.0180819579144461,0.0483961863760489,0.391960899916059,-0.127467290699659,"Kctd20","ENSMUSG00000005936"
"ENSMUSG00000005951",343.942568472808,-0.384821570003648,0.106612433524674,0.000149474912644935,0.000721404158601093,0.0284641252413529,-0.260011024354199,"Shpk","ENSMUSG00000005951"
"ENSMUSG00000006010",1056.69864668145,-0.332939441942057,0.11442492528665,0.0021079486074739,0.00763274266553422,0.0756737376566576,-0.232392698955031,"Odr4","ENSMUSG00000006010"
"ENSMUSG00000006050",828.185597884047,-0.262518914196708,0.0926801981931205,0.00333632113408456,0.0114426782265577,0.0299009755952865,-0.230191964603814,"Sra1","ENSMUSG00000006050"
"ENSMUSG00000006134",731.529884261705,-0.454047754227715,0.107090343182945,8.12260636894824e-06,5.08820529360666e-05,0.000539150333923709,-0.392366027307071,"Crkl","ENSMUSG00000006134"
"ENSMUSG00000006169",2644.50922468592,-0.412704325712341,0.118757225963662,0.000220853495409191,0.00102081226358201,0.00946980044834398,-0.332595387494304,"Clint1","ENSMUSG00000006169"
"ENSMUSG00000006299",2348.46234546188,-0.506613892291656,0.0974401432603231,5.63894934326312e-08,5.08861449583304e-07,0.000137589879221867,-0.390155433972431,"Aamp","ENSMUSG00000006299"
"ENSMUSG00000006369",152.391093724334,1.25675954097905,0.227744539045316,3.57802653020302e-09,3.85500377352155e-08,0.0460615774313989,0.441712533649404,"Fbln1","ENSMUSG00000006369"
"ENSMUSG00000006378",501.898054628801,-0.960241607376668,0.128480589835922,6.58916642518493e-15,1.42293084723673e-13,0.00338934961071378,-0.381837170647141,"Gcat","ENSMUSG00000006378"
"ENSMUSG00000006392",431.206277184106,-0.349962334019408,0.165150922280593,0.0180749168791725,0.0483838521951361,0.0691446134326501,-0.324131836605876,"Med8","ENSMUSG00000006392"
"ENSMUSG00000006476",795.402271164771,0.496178266052841,0.139905193659131,0.000115413788257085,0.000570727209011726,0.00603279507104978,0.400954427177329,"Nsmf","ENSMUSG00000006476"
"ENSMUSG00000006527",497.641317598751,-0.55100742547458,0.214478700436553,0.00240305866615862,0.00858222909161945,0.156847598926999,-0.303275309188154,"Sfmbt1","ENSMUSG00000006527"
"ENSMUSG00000006676",2372.03165349567,-0.268666364404892,0.0680978483341883,5.75322160035911e-05,0.000304324001089208,0.0136537409048678,-0.191581404213501,"Usp19","ENSMUSG00000006676"
"ENSMUSG00000006699",4772.4834145127,0.198184324397998,0.0749705510484171,0.00684653464706769,0.0211872922974217,0.109073890656332,0.145359336333054,"Cdc42","ENSMUSG00000006699"
"ENSMUSG00000006998",2701.14252589235,-0.389881296386804,0.07834594553719,3.14772332907083e-07,2.53042743126766e-06,3.69243764656098e-06,-0.384145579511161,"Psmd2","ENSMUSG00000006998"
"ENSMUSG00000007041",1714.27849863619,0.717525241407051,0.0982816093722923,2.85759885339552e-14,5.7235431616499e-13,1.55206499029205e-06,0.484348583768233,"Clic1","ENSMUSG00000007041"
"ENSMUSG00000007411",1736.96003028355,-0.326003014599008,0.081115041644527,3.56104838202047e-05,0.000197320006353711,0.00108484754753008,-0.29030709959587,"Mark3","ENSMUSG00000007411"
"ENSMUSG00000007610",246.19854614634,0.636432861962625,0.20897793398974,0.000380679780904276,0.00166916670247027,0.0438758669655177,0.407403221537683,"Gtpbp3","ENSMUSG00000007610"
"ENSMUSG00000007646",49.4683209126753,-0.602815980085207,0.290032884677725,0.00765965692577229,0.0233098143737552,0.163466314332549,-0.362141985157664,"Rad51c","ENSMUSG00000007646"
"ENSMUSG00000007777",340.026456900282,-0.502527174433426,0.114209450960055,3.10888108103046e-06,2.11176693376417e-05,0.0012496590095572,-0.387534705789665,"Trappc2b","ENSMUSG00000007777"
"ENSMUSG00000007815",4897.92933404318,-0.281149714997319,0.0560263539668494,3.66948582493345e-07,2.92163344964377e-06,4.30856787582259e-06,-0.277027233230722,"Rhoa","ENSMUSG00000007815"
"ENSMUSG00000007837",441.820038295312,-0.253883591292451,0.104240441067191,0.010884916226439,0.0315491254485056,0.0726562052058664,-0.217545901595663,"Prrg2","ENSMUSG00000007837"
"ENSMUSG00000007872",1381.58222801129,-0.740232397466568,0.236103042087744,0.000201486256591577,0.000940474104048315,0.591885917951823,0.132549817818873,"Id3","ENSMUSG00000007872"
